,year,title,genre,avg_vote,movie_rating,duration,watchability
338,2006,Pirates of the Caribbean: Dead Man's Chest,"Action, Adventure, Fantasy",7.3,good,151,really long movie
339,2005,Sueño,"Comedy, Drama, Music",5.2,okay,108,really long movie
340,2005,Police Beat,"Crime, Drama",6.7,good,80,avg length movie
341,2005,Af banen,"Comedy, Sport",5.0,okay,80,avg length movie
342,2005,Cry Wolf,"Drama, Horror, Mystery",5.8,okay,90,no data
343,2006,Silent Hill,Horror,6.5,good,125,really long movie
344,2005,Swimmers,Drama,6.5,good,90,no data
345,2005,Kicking & Screaming,"Comedy, Family, Romance",5.6,okay,95,really long movie
346,2005,The Weather Man,"Comedy, Drama",6.5,good,102,really long movie
347,2005,The White Countess,"Drama, History, Romance",6.6,good,135,really long movie
348,2005,Missing in America,"Drama, War",6.6,good,102,really long movie
349,2006,Accepted,Comedy,6.4,good,93,really long movie
350,2006,Aimee Semple McPherson,"Biography, Drama",4.7,okay,110,really long movie
351,2005,The Amityville Horror,Horror,6.0,okay,90,no data
352,2006,Ask the Dust,"Drama, Romance",5.8,okay,117,really long movie
353,2005,Trouble with Sex,"Drama, Romance",5.2,okay,88,avg length movie
354,2005,The Dying Gaul,"Drama, Romance",6.4,good,92,really long movie
355,2005,Hooligans,"Crime, Drama, Sport",7.5,good,109,really long movie
356,2005,How the Garcia Girls Spent Their Summer,"Comedy, Drama, Romance",6.3,good,128,really long movie
