,year,title,genre,avg_vote,movie_rating
591,2005,Chaos,"Horror, Thriller",3.2,okay
592,2005,Loggerheads,Drama,7.1,good
593,2005,Nearing Grace,"Comedy, Drama, Romance",5.8,okay
594,2005,Stestí,Drama,7.1,good
595,2005,"The Prize Winner of Defiance, Ohio","Biography, Drama",7.3,good
596,2005,Sametoví vrazi,"Crime, Drama",6.0,okay
597,2005,Shut Up and Shoot Me,Comedy,6.2,good
598,2005,Skrítek,Comedy,7.1,good
599,2005,Zathura: A Space Adventure,"Action, Adventure, Comedy",6.1,good
600,2005,El amor - primera parte,"Comedy, Romance",7.0,good
601,2005,The Chumscrubber,"Comedy, Drama",6.9,good
602,2005,Dobro ustimani mrtvaci,"Comedy, Drama",7.0,good
604,2005,Lorelei,"Action, Drama, Sci-Fi",5.3,okay
606,2005,Our Very Own,Drama,6.1,good
607,2005,Szöke kóla,Comedy,4.1,okay
608,2005,Pooh's Heffalump Movie,"Animation, Comedy, Family",6.4,good
609,2005,The Sisters,Drama,6.1,good
610,2005,Le survenant,Drama,6.3,good
611,2005,Sílení,"Animation, Comedy, Drama",7.3,good
612,2005,Transamerica,"Adventure, Comedy, Drama",7.4,good
613,2005,The Truth About Love,"Comedy, Romance",5.4,okay
614,2005,The Second Front,"Action, Romance, War",4.0,okay
615,2005,War of the Worlds,"Adventure, Sci-Fi",6.5,good
616,2005,Complete Guide to Guys,Comedy,4.2,okay
617,2005,Dirty Deeds,Comedy,5.8,okay
618,2005,Fugitive Hunter,Action,3.6,okay
622,2005,Kamenák 3,Comedy,2.4,bad
623,2005,The Mistress of Spices,"Drama, Romance",5.5,okay
624,2005,Príbehy obycejného sílenství,"Comedy, Drama",7.3,good
625,2005,Kousek nebe,Romance,6.8,good
626,2005,Knetter,"Comedy, Drama",6.6,good
627,2005,Munich,"Biography, Crime, Drama",7.5,good
628,2005,Voksne mennesker,"Comedy, Drama, Romance",7.2,good
630,2005,Bad News Bears,"Comedy, Sport",5.8,okay
632,2005,Flightplan,"Drama, Mystery, Thriller",6.3,good
633,2005,Guy X,"Comedy, War",5.1,okay
634,2005,Kids in America,Comedy,5.7,okay
636,2005,The Life and Hard Times of Guy Terrifico,Comedy,6.6,good
637,2005,Love Wrecked,"Adventure, Comedy, Romance",4.8,okay
638,2005,Hrubes a Mares jsou kamarádi do deste,Comedy,5.4,okay
639,2005,Marilyn Hotchkiss' Ballroom Dancing & Charm School,"Comedy, Drama, Musical",6.6,good
642,2005,Les poupées russes,"Comedy, Drama, Romance",7.0,good
644,2005,Shabd,Drama,5.2,okay
647,2005,Cheong yeon,Romance,6.8,good
648,2005,Come Away Home,"Drama, Family",6.8,good
650,2005,Espace détente,Comedy,4.6,okay
652,2005,Hunting Season,Horror,3.5,okay
653,2005,Hustle & Flow,"Crime, Drama, Music",7.3,good
654,2005,The King Maker,"Adventure, Drama",3.5,okay
656,2005,Mi Mejor Enemigo,"Comedy, Drama",7.2,good
657,2005,The Mighty Celt,Drama,6.9,good
658,2005,La noche del hermano,Drama,5.1,okay
659,2005,On a Clear Day,"Comedy, Drama, Romance",6.9,good
661,2005,Oublier Cheyenne,"Drama, Romance",6.3,good
662,2005,La petite Chartreuse,Drama,6.4,good
663,2005,Resurrection: The J.R. Richard Story,Drama,7.3,good
664,2005,Sidekick,"Fantasy, Sci-Fi",5.4,okay
665,2005,Slingshot,"Crime, Drama, Romance",4.6,okay
666,2005,Soul Searcher,"Action, Fantasy, Thriller",3.9,okay
670,2005,Tideland,"Drama, Fantasy, Horror",6.5,good
671,2005,All the Invisible Children,Drama,7.5,good
672,2005,L'annulaire,Drama,6.2,good
673,2005,Anthony Zimmer,"Crime, Drama, Romance",6.5,good
674,2005,Breakfast on Pluto,"Comedy, Drama",7.2,good
675,2005,The Dark,"Drama, Horror, Mystery",5.4,okay
676,2005,De battre mon coeur s'est arrêté,"Crime, Drama, Music",7.3,good
677,2005,One Day in Europe,Comedy,6.5,good
678,2005,Return of the Living Dead: Necropolis,"Action, Comedy, Horror",3.3,okay
679,2005,Return of the Living Dead: Rave to the Grave,"Comedy, Horror, Sci-Fi",3.3,okay
680,2005,Broken Flowers,"Comedy, Drama, Mystery",7.2,good
681,2005,Winners and Losers,"Comedy, Romance",4.1,okay
682,2005,WTC View,"Drama, Romance",6.0,okay
683,2005,The World's Fastest Indian,"Biography, Drama, Sport",7.8,good
685,2005,Tout pour plaire,Comedy,6.0,okay
686,2005,Being Cyrus,"Drama, Thriller",7.2,good
687,2005,Animal,"Sci-Fi, Thriller",5.0,okay
688,2005,L'antidote,Comedy,5.2,okay
689,2005,Brutal Incasso,"Action, Comedy",3.6,okay
690,2005,Brice de Nice,Comedy,5.1,okay
693,2005,Desolation Sound,Drama,5.3,okay
696,2005,Little Manhattan,"Comedy, Family, Romance",7.5,good
697,2005,Mrs Henderson Presents,"Comedy, Drama, Music",7.0,good
698,2005,Puritan,"Drama, Fantasy, Mystery",5.9,okay
699,2005,Jug jugoistok,Thriller,5.3,okay
700,2005,Sulanga Enu Pinisa,Drama,6.2,good
701,2005,The Unseen,Drama,6.6,good
702,2005,Wassup Rockers,"Comedy, Drama",6.0,okay
703,2005,Les yeux clairs,"Comedy, Drama",6.8,good
704,2005,Cake,"Comedy, Romance",4.9,okay
706,2005,A porcelánbaba,"Drama, Family, Fantasy",5.9,okay
707,2005,Intermedio,"Horror, Thriller",2.7,bad
708,2005,Kinamand,Drama,7.0,good
709,2005,Off Screen,"Crime, Drama, Thriller",6.7,good
710,2005,The War Within,Drama,6.8,good
711,2005,Pride & Prejudice,"Drama, Romance",7.8,good
712,2005,7 días,Comedy,6.7,good
713,2005,Amu,Drama,7.4,good
714,2005,37 og et halvt,"Drama, Comedy",4.7,okay
716,2005,La boîte noire,"Mystery, Thriller",5.9,okay
717,2005,The Quiet,"Crime, Drama, Thriller",6.3,good
721,2005,Vinterkyss,"Drama, Mystery, Thriller",6.4,good
722,2005,Marock,"Drama, Romance",6.1,good
724,2005,Mortuary,"Horror, Mystery, Thriller",4.0,okay
725,2005,Red Doors,Drama,6.4,good
728,2005,Beed-e majnoon,Drama,7.4,good
729,2005,Boy s tenyu,"Action, Drama, Sport",5.9,okay
730,2005,Boy Eats Girl,"Comedy, Fantasy, Horror",5.0,okay
731,2005,The Trouble with Dee Dee,Comedy,6.5,good
732,2005,Dus,"Action, Crime, Drama",5.5,okay
734,2005,Fool's Gold,Comedy,6.4,good
735,2005,Hate Crime,"Crime, Drama, Mystery",6.3,good
736,2005,Heart of the Beholder,Drama,5.9,okay
737,2005,Hirsiz Var!,"Adventure, Comedy, Crime",4.3,okay
738,2005,Greener Mountains,"Drama, Romance",5.1,okay
739,2005,Kaal,"Adventure, Horror, Mystery",4.6,okay
740,2005,Lemming,"Drama, Mystery, Thriller",6.7,good
743,2005,Me and You and Everyone We Know,"Comedy, Drama",7.3,good
744,2005,River's End,"Action, Adventure, Crime",5.3,okay
746,2005,Para que no me olvides,Drama,7.0,good
748,2005,Pobeg,"Crime, Drama, Thriller",5.7,okay
750,2005,"Semen, una historia de amor",Comedy,5.5,okay
751,2005,Wolf Creek,"Horror, Thriller",6.2,good
753,2005,Match Point,"Drama, Romance, Thriller",7.6,good
754,2005,Akoibon,"Comedy, Adventure, Romance",4.7,okay
756,2005,American Gun,Drama,6.1,good
758,2005,Crazylove,"Comedy, Drama, Romance",6.1,good
759,2005,Dishdogz,"Action, Drama, Sport",5.3,okay
760,2005,Elaan,"Action, Thriller",4.4,okay
761,2005,Glass Trap,"Action, Adventure, Comedy",2.9,bad
764,2005,The Kid & I,Comedy,5.3,okay
765,2005,Lethal Eviction,Thriller,4.3,okay
766,2005,Must Love Dogs,"Comedy, Romance",5.9,okay
769,2005,Les mots bleus,"Romance, Drama",6.5,good
770,2005,Room,"Drama, Mystery",4.5,okay
772,2005,Le temps qui reste,Drama,7.1,good
773,2005,Two for the Money,"Drama, Sport, Thriller",6.3,good
776,2005,12 and Holding,Drama,7.5,good
777,2005,9 rota,"Action, Drama, History",7.1,good
779,2005,L'avion,"Drama, Fantasy, Mystery",5.7,okay
780,2005,Checking Out,Comedy,5.9,okay
781,2005,Confession,"Drama, Thriller",5.7,okay
783,2005,Factotum,"Comedy, Drama, Romance",6.6,good
784,2005,Forest of the Damned,Horror,2.7,bad
785,2005,Hank Williams First Nation,"Comedy, Drama",6.0,okay
786,2005,Headspace,"Horror, Mystery, Sci-Fi",4.6,okay
787,2005,Her Minor Thing,"Comedy, Romance",5.2,okay
788,2005,Kampfansage - Der letzte Schüler,"Action, Sci-Fi",5.1,okay
790,2005,Little Athens,"Comedy, Crime, Drama",5.5,okay
792,2005,Ma quando arrivano le ragazze?,"Comedy, Drama, Romance",6.6,good
793,2005,Manuale d'amore,"Comedy, Drama, Romance",6.4,good
794,2005,Wu ji,"Action, Drama, Fantasy",5.6,okay
795,2005,Neverwas,"Drama, Fantasy, Mystery",6.6,good
797,2005,Quando sei nato non puoi più nasconderti,"Adventure, Drama",6.7,good
798,2005,Romanzo criminale,"Crime, Drama",7.2,good
801,2005,Tickets,"Comedy, Drama",7.0,good
802,2005,TrashHouse,"Comedy, Horror",2.5,bad
804,2005,Die Wilden Kerle 2,"Comedy, Family, Sport",4.2,okay
805,2005,Wish You Were Here,"Drama, Thriller",4.9,okay
807,2005,Adams æbler,"Comedy, Crime, Drama",7.8,good
808,2005,Un año sin amor,"Drama, Romance",6.2,good
809,2005,Beverly Kills,Comedy,3.8,okay
810,2005,Death Tunnel,Horror,2.7,bad
811,2005,Dreamer: Inspired by a True Story,"Drama, Family, Sport",6.8,good
815,2005,Jarhead,"Action, Biography, Drama",7.0,good
816,2005,Junebug,"Comedy, Drama",6.9,good
817,2005,Land of the Dead,"Horror, Sci-Fi, Thriller",6.2,good
818,2005,Lie with Me,"Drama, Romance",5.3,okay
820,2005,La maison de Nina,"Drama, History, War",6.0,okay
821,2005,Matrimonium,Comedy,4.8,okay
822,2005,Max und Moritz Reloaded,"Action, Comedy",2.5,bad
825,2005,Mi nismo andjeli 2,Comedy,6.1,good
828,2005,Partner(s),Comedy,5.7,okay
833,2005,Spirit Trap,"Horror, Thriller",4.5,okay
834,2005,La tigre e la neve,"Comedy, Drama, Romance",7.1,good
836,2005,Wah-Wah,"Comedy, Drama",6.8,good
837,2005,The Three Burials of Melquiades Estrada,"Adventure, Crime, Drama",7.4,good
839,2005,Abo Ali,"Comedy, Romance",6.4,good
842,2005,Chromophobia,Drama,6.1,good
843,2005,Cruel World,"Comedy, Horror, Thriller",3.9,okay
844,2005,Dans tes rêves,Drama,4.3,okay
845,2005,Doom,"Action, Adventure, Fantasy",5.2,okay
846,2005,Eighteen,Drama,6.3,good
848,2005,Gespenster,Drama,6.8,good
849,2005,Graves End,"Thriller, Mystery",8.9,good
851,2005,Kim Novak badade aldrig i Genesarets sjö,"Crime, Drama",6.5,good
852,2005,Living 'til the End,"Drama, Romance",6.6,good
854,2005,My Brother... Nikhil,"Drama, Sport",7.3,good
855,2005,Nine Lives,Drama,6.7,good
857,2005,Ronda nocturna,Drama,6.1,good
859,2005,Unkenrufe,"Drama, Romance",5.7,okay
861,2005,Viruddh... Family Comes First,"Drama, Family",7.1,good
862,2005,Idole instantanée,Comedy,5.5,okay
863,2005,El aura,"Crime, Drama, Thriller",7.2,good
864,2005,Combien tu m'aimes?,"Comedy, Drama, Romance",5.7,okay
865,2005,Di buen día a papá,Drama,6.3,good
867,2005,A Little Trip to Heaven,"Drama, Thriller",6.0,okay
870,2005,Sauf le respect que je vous dois,Drama,6.2,good
871,2005,Schläfer,Drama,6.3,good
872,2005,La guerra di Mario,Drama,6.6,good
873,2005,Shooting Dogs,"Drama, History, War",7.7,good
874,2005,Turning Green,"Drama, Comedy",5.6,okay
875,2005,Zhmurki,"Comedy, Crime, Thriller",7.2,good
876,2005,The Witch's Sabbath,Horror,3.2,okay
878,2005,Domino,"Action, Biography, Crime",5.9,okay
879,2005,Kontakt,"Drama, Romance",7.0,good
880,2005,Zerophilia,"Comedy, Romance",6.1,good
884,2005,Kombat Sechzehn,Drama,6.1,good
885,2005,Mrs. Palfrey at the Claremont,"Comedy, Drama",7.6,good
886,2005,The Proposition,"Crime, Drama, Western",7.4,good
887,2005,Red Eye,"Action, Mystery, Thriller",6.4,good
888,2005,Steal Me,Drama,5.8,okay
889,2005,20 centímetros,"Comedy, Musical",6.6,good
891,2005,Anlat Istanbul,"Drama, Thriller",7.4,good
893,2005,El calentito,"Comedy, Music",5.8,okay
894,2005,Carambole,"Crime, Drama, Mystery",6.0,okay
895,2005,Les chevaliers du ciel,"Adventure, Action",5.8,okay
896,2005,Choker,"Horror, Action, Sci-Fi",2.6,bad
897,2005,Imagine Me & You,"Comedy, Drama, Romance",6.8,good
898,2005,Como un avión estrellado,"Comedy, Drama",6.7,good
899,2005,Le couperet,"Comedy, Crime, Drama",7.4,good
900,2005,Curandero,Horror,4.9,okay
901,2005,La ravisseuse,Drama,6.0,okay
902,2005,Diary of a Mad Black Woman,"Comedy, Drama, Romance",5.7,okay
903,2005,Douches froides,Drama,6.1,good
904,2005,Frágiles,"Horror, Mystery, Thriller",6.1,good
908,2005,A Simple Curve,Drama,6.6,good
909,2005,Iki Genç Kiz,Drama,5.4,okay
911,2005,Diep,Drama,6.3,good
912,2005,Mallaki Iskandariya,"Crime, Drama, Mystery",7.0,good
917,2005,Ranpo jigoku,"Fantasy, Horror",6.3,good
918,2005,Restart,Drama,5.9,okay
922,2005,Southern Belles,"Comedy, Romance",5.6,okay
923,2005,This Revolution,"Drama, Romance, Thriller",5.5,okay
925,2005,Tjenare kungen,"Comedy, Drama, Music",6.0,okay
926,2005,A Cock and Bull Story,Comedy,6.7,good
927,2005,"L'un reste, l'autre part","Comedy, Drama",5.7,okay
928,2005,Waterborne,Drama,5.5,okay
929,2005,Way of the Vampire,"Action, Horror, Thriller",1.9,bad
930,2005,L'amour aux trousses,"Crime, Comedy, Romance",4.8,okay
931,2005,Au suivant!,"Romance, Drama, Comedy",4.4,okay
932,2005,Boudu,Comedy,5.3,okay
933,2005,Zim and Co.,Comedy,6.6,good
934,2005,David & Layla,"Comedy, Drama, Romance",5.4,okay
937,2005,Hard Candy,"Drama, Thriller",7.1,good
938,2005,Joyeux Noël,"Drama, History, Music",7.7,good
939,2005,The Mostly Unfabulous Social Life of Ethan Green,"Comedy, Romance",6.2,good
940,2005,NVA,Comedy,5.7,okay
941,2005,Palais royal!,Comedy,5.5,okay
943,2005,The Adventures of Sharkboy and Lavagirl 3-D,"Action, Adventure, Comedy",3.5,okay
944,2005,Allegro,"Drama, Romance, Sci-Fi",6.6,good
945,2005,Ayin karanlik yüzü,"Drama, Romance",3.4,okay
947,2005,Between,"Drama, Mystery, Thriller",4.2,okay
954,2005,Disaster!,"Animation, Comedy, Sci-Fi",5.0,okay
955,2005,Dommeren,Drama,5.4,okay
956,2005,Drabet,Drama,6.7,good
959,2005,Game 6,"Comedy, Drama, Sport",5.8,okay
960,2005,Gönül Yarasi,Drama,7.8,good
962,2005,El hasa el sabaa,"Comedy, Fantasy",5.9,okay
964,2005,Just Like Heaven,"Comedy, Drama, Fantasy",6.7,good
967,2005,The Fine Art of Love: Mine Ha-Ha,"Drama, Mystery",5.5,okay
969,2005,Almost Heaven,"Drama, Comedy, Music",5.7,okay
970,2005,Long Distance,"Horror, Thriller",5.2,okay
972,2005,Malek wa ketaba,Drama,6.0,okay
974,2005,Mary,"Drama, Thriller",5.8,okay
976,2005,Niagara Motel,Drama,5.8,okay
977,2005,Nynne,"Comedy, Romance",5.6,okay
980,2005,Pardon,"Comedy, Drama",8.2,good
983,2005,Pusher III,"Crime, Drama, Thriller",7.3,good
985,2005,Runaway,"Drama, Thriller",6.6,good
986,2005,Sans Kapiyi Kirinca,Comedy,6.2,good
987,2005,Den store dag,"Comedy, Romance",5.4,okay
988,2005,La suerte está echada,Comedy,7.1,good
989,2005,Touched,"Drama, Romance",5.8,okay
991,2005,"Sorry, Haters","Drama, Thriller",6.2,good
994,2005,You Are Alone,Drama,6.3,good
995,2005,Yôkai daisensô,"Adventure, Family, Fantasy",6.4,good
996,2005,American Soldiers,"Action, Drama, History",3.3,okay
997,2005,Familia,Drama,7.1,good
999,2005,De indringer,"Mystery, Thriller",6.8,good
1000,2005,Kész cirkusz,"Action, Comedy",5.9,okay
1001,2005,O Veneno da Madrugada,Drama,5.8,okay
1002,2005,Un rey en La Habana,Comedy,5.5,okay
1003,2005,Riviera,Drama,4.9,okay
1004,2005,Segundo asalto,"Drama, Romance",5.9,okay
1005,2005,Short Order,"Drama, Adventure",6.5,good
1006,2005,La cloche a sonné,Comedy,4.6,okay
1007,2005,Alien Abduction,"Horror, Sci-Fi, Thriller",2.5,bad
1008,2005,Feast,"Action, Comedy, Horror",6.3,good
1010,2005,Go West,"Comedy, Drama, War",6.6,good
1012,2005,Popstar,"Comedy, Family, Romance",2.6,bad
1013,2005,Song of the Dead,"Musical, Horror",4.7,okay
1014,2005,Sophie Scholl - Die letzten Tage,"Biography, Crime, Drama",7.6,good
1015,2005,In the Mix,"Comedy, Crime, Drama",2.8,bad
1016,2005,Venice Underground,"Crime, Thriller",3.2,okay
1017,2005,Stoned,"Biography, Drama, Music",5.8,okay
1019,2005,Apocalypse and the Beauty Queen,Fantasy,2.7,bad
1020,2005,Blízko nebe,"Comedy, Drama",4.7,okay
1021,2005,Cavalcade,"Biography, Drama",4.6,okay
1022,2005,Cayo,Drama,6.3,good
1024,2005,Egreti gelin,Drama,6.2,good
1025,2005,Erkan & Stefan in Der Tod kommt krass,Comedy,4.3,okay
1027,2005,Hababam Sinifi Askerde,Comedy,3.0,okay
1031,2005,El método,Drama,7.2,good
1032,2005,Neighborhood Watch,"Horror, Thriller",5.1,okay
1033,2005,Perception,Drama,4.7,okay
1034,2005,Studio 666,"Horror, Music, Sci-Fi",3.0,okay
1036,2005,Slunecní stát aneb hrdinové delnické trídy,"Comedy, Drama",6.7,good
1037,2005,Stillwater,Thriller,4.2,okay
1038,2005,Strákarnir okkar,"Comedy, Drama, Romance",5.0,okay
1039,2005,Trip Out,Drama,4.8,okay
1040,2005,Lupaus,"Drama, War",6.4,good
1041,2005,Teberik Sanssiz,Comedy,1.8,bad
1042,2005,Thank You for Smoking,"Comedy, Drama",7.6,good
1043,2005,Tom yum goong,"Action, Crime, Drama",7.1,good
1044,2005,Tommys Inferno,"Comedy, Drama",5.4,okay
1045,2005,Trust the Man,"Comedy, Drama, Romance",5.7,okay
1047,2005,Sweet Land,"Drama, Romance",7.1,good
1048,2005,Haunted Boat,"Drama, Horror, Mystery",2.2,bad
1049,2005,All Souls Day: Dia de los Muertos,"Horror, Thriller",3.7,okay
1050,2005,Venom,Horror,4.6,okay
1051,2005,Big River,Drama,6.2,good
1052,2005,Un Buda,Drama,6.7,good
1053,2005,Camping à la ferme,Comedy,5.4,okay
1054,2005,Cavite,Thriller,6.2,good
1055,2005,Severed,"Horror, Sci-Fi, Thriller",4.6,okay
1056,2005,Crustacés & coquillages,"Comedy, Musical, Romance",6.6,good
1058,2005,Le démon de midi,Comedy,4.6,okay
1059,2005,Les enfants,Comedy,5.8,okay
1060,2005,La fiesta del Chivo,Drama,6.4,good
1062,2005,Fluerne på væggen,Thriller,5.5,okay
1063,2005,Guernsey,Drama,6.1,good
1065,2005,I Am a Sex Addict,"Biography, Comedy, Romance",6.0,okay
1066,2005,Il était une fois dans l'oued,Comedy,4.8,okay
1067,2005,Fremde Haut,Drama,7.0,good
1069,2005,Miss Montigny,Drama,6.3,good
1070,2005,La moustache,"Drama, Mystery",6.7,good
1071,2005,Papa,"Comedy, Drama",6.5,good
1072,2005,Les parrains,"Comedy, Crime",5.7,okay
1073,2005,La petite Jérusalem,Drama,6.6,good
1075,2005,Edy,"Drama, Thriller",5.6,okay
1076,2005,Saint-Jacques... La Mecque,"Comedy, Drama",6.4,good
1078,2005,Qi jian,"Action, Adventure, Fantasy",6.2,good
1079,2005,Siegfried,Comedy,3.6,okay
1081,2005,Tara Road,Drama,6.0,okay
1082,2005,The Tenants,"Crime, Drama, Romance",5.2,okay
1083,2005,The Thing About My Folks,"Comedy, Drama",6.5,good
1085,2005,Un fil à la patte,"Comedy, Romance",5.3,okay
1086,2005,La vie est à nous!,Comedy,4.7,okay
1087,2005,Virgil,"Comedy, Drama, Sport",6.5,good
1088,2005,Voici venu le temps,"Comedy, Drama",5.3,okay
1090,2005,50 Ways of Saying Fabulous,Drama,5.6,okay
1091,2005,An American Haunting,"Drama, History, Horror",5.1,okay
1095,2005,The Business,"Crime, Drama, Thriller",6.7,good
1097,2005,O Casamento de Romeu e Julieta,"Comedy, Romance",6.2,good
1098,2005,The Clan,"Comedy, Musical",3.6,okay
1099,2005,Cuore sacro,Drama,6.4,good
1101,2005,Der Fischer und seine Frau,"Comedy, Drama, Romance",6.2,good
1102,2005,Four Brothers,"Action, Crime, Drama",6.8,good
1104,2005,L'enfer,Drama,6.8,good
1105,2005,It Waits,Horror,4.0,okay
1106,2005,Johan,"Drama, Romance",6.0,okay
1107,2005,Joyride,"Adventure, Crime, Drama",4.9,okay
1108,2005,Pervyy posle Boga,"Action, Drama, War",5.5,okay
1110,2005,Get Rich or Die Tryin',"Biography, Crime, Drama",5.3,okay
1113,2005,El penalti más largo del mundo,Comedy,5.3,okay
1114,2005,Provincia meccanica,Drama,5.4,okay
1116,2005,The Secret Life of Words,"Drama, Romance",7.5,good
1122,2005,Udayananu Tharam,Comedy,7.9,good
1125,2005,Aurore,Drama,7.4,good
1127,2005,Berkeley,Drama,5.0,okay
1128,2005,The Best Man,"Comedy, Romance",6.0,okay
1130,2005,Eve and the Fire Horse,Drama,6.9,good
1133,2005,Im Schwitzkasten,"Comedy, Drama",5.9,okay
1134,2005,Jogo Subterrâneo,"Romance, Drama",6.8,good
1135,2005,Joseph Smith: Prophet of the Restoration,"Biography, Drama, History",7.8,good
1136,2005,Lassie,"Adventure, Comedy, Drama",6.7,good
1138,2005,Der Schatz der weißen Falken,"Family, Adventure",6.9,good
1139,2005,Steget efter,"Crime, Mystery, Thriller",6.1,good
1140,2005,Stinger,"Action, Adventure, Comedy",1.9,bad
1141,2005,L'uomo perfetto,Comedy,6.1,good
1143,2005,Les âmes grises,Drama,6.3,good
1144,2005,Árido Movie,Drama,6.8,good
1145,2005,Azumi 2: Death or Love,Action,6.3,good
1146,2005,Foon,Comedy,3.8,okay
1147,2005,Andarivaadu,"Action, Comedy, Drama",4.3,okay
1148,2005,Il ne faut jurer... de rien!,Comedy,5.6,okay
1150,2005,Mistrz,Drama,6.4,good
1151,2005,Oculto,Drama,6.1,good
1152,2005,Peindre ou faire l'amour,Drama,6.1,good
1153,2005,Le petit lieutenant,"Crime, Drama",7.0,good
1154,2005,Puppy,"Comedy, Drama, Horror",6.3,good
1155,2005,Román pro zeny,Comedy,5.8,okay
1156,2005,Sandor slash Ida,"Comedy, Drama, Family",5.1,okay
1157,2005,Sarkar,"Action, Crime, Drama",7.6,good
1158,2005,Bunny,"Action, Drama",5.7,okay
1159,2005,Brothers of the Head,"Drama, Music",6.4,good
1160,2005,The Cutter,"Action, Crime, Drama",4.9,okay
1163,2005,The Fog,Horror,3.7,okay
1165,2005,Die Höhle des gelben Hundes,"Drama, Family",7.6,good
1166,2005,Saw II,"Horror, Mystery",6.6,good
1168,2005,Rag Tale,"Comedy, Romance, Drama",3.9,okay
1171,2005,Mørke,"Drama, Thriller",6.8,good
1172,2005,Otros días vendrán,Drama,6.4,good
1173,2005,Papá se volvió loco,Comedy,3.5,okay
1174,2005,"Quo Vadis, Baby?","Drama, Thriller",6.2,good
1175,2005,Looking for Comedy in the Muslim World,Comedy,5.4,okay
1176,2005,Gonggongui jeog 2,"Action, Drama",6.0,okay
1178,2005,Dark Remains,Horror,4.9,okay
1179,2005,"Good Night, and Good Luck.","Biography, Drama, History",7.4,good
1181,2005,Harsh Times,"Action, Crime, Drama",6.9,good
1183,2005,Just Friends,"Comedy, Romance",6.2,good
1187,2005,Parzania,"Drama, History",7.7,good
1190,2005,Wild Country,Horror,4.3,okay
1191,2005,Paper Moon Affair,"Drama, Romance",5.5,okay
1194,2005,Ausentes,Thriller,4.9,okay
1195,2005,A golpes,Drama,4.5,okay
1197,2005,Hak se wui,"Crime, Drama, Thriller",7.1,good
1198,2005,Hormigas en la boca,Drama,5.9,okay
1199,2005,Kinky Boots,"Comedy, Drama, Music",7.1,good
1201,2005,Lucid,"Comedy, Drama, Mystery",6.5,good
1202,2005,La maldición del padre Cardona,"Comedy, Drama, Romance",3.7,okay
1204,2005,O dve slabiky pozadu,"Romance, Drama",7.1,good
1205,2005,Princesas,Drama,7.0,good
1206,2005,Reinas,"Comedy, Romance",6.5,good
1207,2005,Snow White,Drama,5.8,okay
1208,2005,Tapas,"Comedy, Drama",6.7,good
1209,2005,V for Vendetta,"Action, Drama, Sci-Fi",8.2,good
1210,2005,Undiscovered,"Comedy, Music, Romance",4.3,okay
1212,2005,Gentille,Comedy,6.0,okay
1213,2005,Jing mo gaa ting,"Action, Comedy",6.1,good
1214,2005,La neuvaine,Drama,7.5,good
1215,2005,Se Arrienda,Drama,6.7,good
1216,2005,Gabrielle,"Drama, Romance",6.2,good
1218,2005,3° kälter,"Drama, Romance",5.7,okay
1219,2005,The Adventures of Greyfriars Bobby,"Adventure, Family, History",6.1,good
1220,2005,Conversations with Other Women,"Comedy, Drama, Romance",7.0,good
1221,2005,The Descent,"Adventure, Horror, Thrille",7.2,good
1222,2005,Demon Hunter,Horror,4.3,okay
1223,2005,English as a Second Language,"Drama, Romance",7.0,good
1225,2005,KatieBird *Certifiable Crazy Person,Horror,4.4,okay
1227,2005,The League of Gentlemen's Apocalypse,"Comedy, Fantasy, Horror",6.1,good
1228,2005,The Mechanik,"Action, Drama, Thriller",5.6,okay
1230,2005,The Rain Makers,"Action, Drama",3.8,okay
1234,2005,Backstage,"Drama, Music",5.9,okay
1235,2005,Carpool Guy,Comedy,5.1,okay
1236,2005,Cicatrices,"Comedy, Drama",4.1,okay
1239,2005,Dura,"Comedy, Drama",6.6,good
1240,2005,Ellie Parker,"Comedy, Drama",5.7,okay
1243,2005,Gas,Drama,6.2,good
1244,2005,Ghost of Mae Nak,Horror,5.1,okay
1245,2005,De griezelbus,"Adventure, Family, Fantasy",5.4,okay
1246,2005,Heroína,Drama,5.7,okay
1247,2005,High School Record,Comedy,6.1,good
1248,2005,Je ne suis pas là pour être aimé,"Drama, Romance",7.2,good
1249,2005,Jo Bole So Nihaal,"Action, Comedy",3.5,okay
1251,2005,"Love, Ludlow","Comedy, Romance",6.5,good
1252,2005,Ma vie en l'air,"Comedy, Romance",6.8,good
1253,2005,The Motel,"Comedy, Drama",6.7,good
1254,2005,Noksaek uija,"Drama, Romance",6.2,good
1255,2005,The Puffy Chair,"Comedy, Drama, Romance",6.5,good
1257,2005,Le roman de Renart,Animation,5.0,okay
1258,2005,The Salon,"Comedy, Drama",4.1,okay
1259,2005,La vie de Michel Muller est plus belle que la vôtre,Comedy,4.6,okay
1260,2005,Die weiße Massai,"Drama, Romance",6.5,good
1261,2005,"Zaïna, cavalière de l'Atlas","Adventure, Drama",5.6,okay
1262,2005,Zoop in Afrika,"Comedy, Adventure, Drama",5.0,okay
1263,2005,Balu,"Action, Crime",6.0,okay
1267,2005,Headhunter,"Thriller, Horror",4.6,okay
1268,2005,Horloge biologique,Comedy,7.1,good
1270,2005,Kaksipäisen kotkan varjossa,"Drama, History, Musical",3.1,okay
1271,2005,Khamoshh... Khauff Ki Raat,"Mystery, Thriller",3.3,okay
1272,2005,Parineeta,"Drama, Musical, Romance",7.2,good
1273,2005,Qian li zou dan qi,Drama,7.3,good
1282,2005,The Path of Evil,"Drama, Horror",3.6,okay
