,year,title,genre,avg_vote,movie_rating
134,2005,The Crow: Wicked Prayer,"Action, Adventure, Comedy",3.0,okay
137,2005,The Game of Their Lives,"Drama, History, Sport",6.1,good
139,2005,The Brothers Grimm,"Action, Adventure, Comedy",5.9,okay
140,2005,The Illustrated Family Doctor,"Comedy, Drama, Fantasy",5.8,okay
141,2005,Lords of Dogtown,"Biography, Drama, Sport",7.1,good
143,2005,The Family Stone,"Comedy, Drama, Romance",6.3,good
144,2005,Mr. & Mrs. Smith,"Action, Comedy, Crime",6.5,good
145,2005,The Ballad of Jack and Rose,Drama,6.6,good
146,2005,Rx,"Thriller, Crime, Romance",5.4,okay
147,2005,Elektra,"Action, Adventure, Crime",4.7,okay
148,2005,Boogeyman,"Drama, Horror, Mystery",4.2,okay
149,2005,Dr. Rage,"Horror, Thriller",2.6,bad
150,2005,Robots,"Animation, Adventure, Come",6.3,good
151,2005,Walk the Line,"Biography, Drama, Music",7.8,good
152,2005,Into the Sun,"Action, Thriller",4.4,okay
153,2005,Ainoa,"Adventure, Sci-Fi",4.9,okay
155,2005,Silence Becomes You,"Drama, Horror, Mystery",4.3,okay
156,2005,Standing Still,"Comedy, Drama, Romance",5.7,okay
158,2005,Constantine,"Action, Fantasy, Horror",7.0,good
159,2005,King Kong,"Action, Adventure, Drama",7.2,good
160,2005,Valiant,"Animation, Adventure, Come",5.5,okay
161,2005,Happy Endings,"Comedy, Drama, Music",6.3,good
162,2005,Duma,"Adventure, Drama, Family",7.2,good
165,2005,Son of the Mask,"Comedy, Family, Fantasy",2.2,bad
167,2005,Hermanas,Drama,6.5,good
168,2005,Monobloc,Drama,4.8,okay
169,2005,Bewafaa,"Drama, Romance",4.3,okay
170,2005,Bigger Than the Sky,"Comedy, Drama, Romance",5.9,okay
171,2005,"The Chronicles of Narnia: The Lion, the Witch and t","Adventure, Family, Fantasy",6.9,good
172,2005,Lovesick,"Drama, Romance",3.4,okay
173,2005,Le promeneur du Champ de Mars,"Biography, Drama",7.1,good
174,2005,The Gingerdead Man,"Comedy, Fantasy, Horror",3.4,okay
175,2005,Neo Ned,"Drama, Romance",7.1,good
176,2005,The Unknown,"Thriller, Action, Adventur",3.4,okay
179,2005,Dating Games People Play,"Comedy, Romance",5.0,okay
180,2005,Man with the Screaming Brain,"Adventure, Comedy, Sci-Fi",5.6,okay
181,2005,Las mantenidas sin sueños,"Comedy, Drama",6.9,good
182,2005,The Matador,"Comedy, Crime, Thriller",6.7,good
183,2005,Revolver,"Action, Crime, Drama",6.4,good
184,2005,Syriana,"Drama, Thriller",6.9,good
186,2005,San wa,"Action, Adventure, Comedy",6.1,good
187,2005,The Upside of Anger,"Comedy, Drama",6.8,good
189,2005,Géminis,Drama,6.0,okay
191,2005,The Jacket,"Drama, Fantasy, Mystery",7.1,good
192,2005,Lethal,"Action, Drama",2.5,bad
193,2005,Mirrormask,"Adventure, Fantasy",6.8,good
195,2005,Sorstalanság,"Drama, Romance, War",6.9,good
196,2005,The Squid and the Whale,"Comedy, Drama",7.3,good
198,2005,Charlie and the Chocolate Factory,"Adventure, Comedy, Family",6.6,good
199,2005,Deuce Bigalow: European Gigolo,Comedy,4.7,okay
200,2005,Hallesche Kometen,Drama,6.7,good
201,2005,Romance & Cigarettes,"Comedy, Musical, Romance",6.3,good
202,2005,Trouble,Thriller,5.8,okay
203,2005,Echoes of Innocence,"Romance, Thriller",5.2,okay
204,2005,Americano,"Comedy, Romance",6.1,good
205,2005,Are We There Yet?,"Adventure, Comedy, Family",4.7,okay
206,2005,Crab Orchard,"Drama, Family, Comedy",4.4,okay
207,2005,Elizabethtown,"Comedy, Drama, Romance",6.4,good
208,2005,The Lazarus Child,"Drama, Horror",5.0,okay
209,2005,Separate Lies,"Crime, Drama, Romance",6.4,good
210,2005,Alone in the Dark,"Action, Horror, Sci-Fi",2.4,bad
211,2005,Bal-Can-Can,"Action, Adventure, Comedy",7.7,good
212,2005,Fun with Dick and Jane,"Comedy, Crime",6.1,good
213,2005,Monster-in-Law,"Comedy, Romance",5.5,okay
214,2005,Strangers with Candy,Comedy,6.0,okay
216,2005,Shooting Livien,"Drama, Music, Romance",5.4,okay
217,2005,Stay,"Drama, Mystery, Thriller",6.8,good
218,2005,Tetsujin niju-hachigo,"Action, Adventure, Fantasy",5.2,okay
219,2005,Window Theory,"Comedy, Drama, Romance",3.9,okay
221,2005,Beneath Still Waters,"Drama, Fantasy, Horror",3.8,okay
222,2005,Chicken Little,"Animation, Adventure, Come",5.7,okay
223,2005,Forbidden Warrior,"Adventure, Action, Fantasy",3.5,okay
224,2005,The Hitchhiker's Guide to the Galaxy,"Adventure, Comedy, Sci-Fi",6.7,good
225,2005,The Zodiac,"Crime, Drama, Horror",5.4,okay
226,2005,La monja,"Drama, Horror, Thriller",4.0,okay
227,2005,Secuestro express,"Action, Crime, Drama",6.5,good
228,2005,Adam & Steve,"Comedy, Drama, Music",5.9,okay
229,2005,Guess Who,"Comedy, Romance",5.9,okay
230,2005,Dinotopia: Quest for the Ruby Sunstone,"Animation, Adventure, Come",5.2,okay
231,2005,Iowa,"Crime, Drama",5.0,okay
232,2005,Sex Sells: The Making of 'Touché',"Comedy, Romance",4.8,okay
233,2005,The Wedding Date,"Comedy, Romance",6.2,good
234,2005,Batman Begins,"Action, Adventure",8.2,good
235,2005,The Extra,"Comedy, Romance",5.1,okay
237,2005,Underclassman,"Action, Comedy, Crime",4.3,okay
238,2005,The Wendell Baker Story,"Comedy, Drama, Romance",5.6,okay
239,2005,Where the Truth Lies,"Crime, Drama, Mystery",6.5,good
240,2005,Kiss Kiss Bang Bang,"Action, Comedy, Crime",7.5,good
241,2005,Casa de Areia,Drama,7.4,good
242,2005,"Cinema, Aspirinas e Urubus","Adventure, Drama",7.4,good
243,2005,Der Clown,"Action, Crime, Thriller",4.4,okay
245,2005,The Honeymooners,"Comedy, Drama, Family",3.3,okay
246,2005,The Interpreter,"Crime, Mystery, Thriller",6.4,good
247,2005,Khullam Khulla Pyaar Karen,Comedy,4.2,okay
249,2005,Köshpendiler,"Drama, History, War",5.9,okay
250,2005,Replica,"Romance, Thriller",1.6,bad
251,2005,Searching for Bobby D,"Adventure, Comedy",4.8,okay
252,2005,Turetskiy gambit,"War, Action, Adventure",7.0,good
253,2005,Bewitched,"Comedy, Fantasy, Romance",4.8,okay
254,2005,Lenny the Wonder Dog,"Adventure, Comedy, Family",3.3,okay
255,2005,On the One,"Comedy, Drama, Musical",5.4,okay
256,2005,Remedy,"Crime, Drama",4.1,okay
258,2005,White Noise,"Drama, Horror, Mystery",5.5,okay
259,2005,You and Your Stupid Mate,Comedy,3.9,okay
260,2005,Black,Drama,8.2,good
262,2005,Racing Stripes,"Adventure, Comedy, Drama",5.2,okay
263,2005,Rebound,"Comedy, Family, Sport",5.1,okay
264,2005,Anniyan,"Action, Drama, Thriller",8.2,good
265,2005,The Shadow Dancer,"Comedy, Drama, Romance",6.7,good
266,2005,Slow Burn,"Drama, Mystery, Thriller",5.8,okay
267,2005,Vida y color,Drama,6.1,good
268,2005,Colour Me Kubrick: A True...ish Story,"Comedy, Drama",6.1,good
269,2005,Frozen,Thriller,5.8,okay
270,2005,Guy in Row Five,Comedy,6.0,okay
271,2005,Pizza,Comedy,5.7,okay
273,2005,The Californians,Drama,4.8,okay
275,2005,Hollywood Flies,"Crime, Drama",4.5,okay
276,2005,Proof,"Drama, Mystery",6.7,good
277,2005,The Ring Two,"Horror, Mystery, Thriller",5.4,okay
278,2005,Three,"Drama, Romance, Thriller",4.9,okay
280,2005,Be Cool,"Comedy, Crime, Drama",5.6,okay
281,2005,Don't Come Knocking,"Drama, Music",6.6,good
282,2005,The Dukes of Hazzard,Comedy,5.1,okay
283,2005,Erosion,"Drama, Mystery, Romance",4.4,okay
284,2005,Into the Blue,"Action, Adventure, Crime",5.8,okay
